elapsed	disk_usage	delta	peak
4	0	0	0
112	8	8	8
222	217096	217096	217096
331	739336	739336	739336
441	1232904	1232904	1232904
559	1759240	1759240	1759240
676	2285576	2285576	2285576
784	2799624	2799624	2799624
896	3323912	3323912	3323912
1008	3821576	3821576	3821576
1117	4333576	4333576	4333576
1228	5103624	5103624	5103624
1341	5492744	5492744	5492744
1451	6270984	6270984	6270984
1565	6858760	6858760	6858760
1681	7503880	7503880	7503880
1794	8046600	8046600	8046600
1904	8345608	8345608	8345608
2020	9000968	9000968	9000968
2130	9590792	9590792	9590792
2250	10049544	10049544	10049544
2375	10606600	10606600	10606600
2488	11163656	11163656	11163656
2602	11687944	11687944	11687944
2718	12048392	12048392	12048392
2832	12736520	12736520	12736520
2941	13162504	13162504	13162504
3055	13654024	13654024	13654024
3164	14178312	14178312	14178312
3276	14735368	14735368	14735368
3387	15128584	15128584	15128584
3497	15718408	15718408	15718408
3609	16177160	16177160	16177160
3728	16701448	16701448	16701448
3839	17127432	17127432	17127432
3951	17782792	17782792	17782792
4064	18208776	18208776	18208776
4178	18733064	18733064	18733064
4289	19355656	19355656	19355656
4399	19781640	19781640	19781640
4509	20338696	20338696	20338696
4620	20830216	20830216	20830216
4731	21321736	21321736	21321736
4839	21911560	21911560	21911560
4954	22370312	22370312	22370312
5068	22927368	22927368	22927368
5189	23549960	23549960	23549960
5299	23910408	23910408	23910408
5418	24565768	24565768	24565768
5541	25188360	25188360	25188360
5654	25581576	25581576	25581576
5767	26269704	26269704	26269704
5884	26793992	26793992	26793992
5995	27187208	27187208	27187208
6107	27842568	27842568	27842568
6219	28301320	28301320	28301320
6329	28825608	28825608	28825608
6439	29317128	29317128	29317128
6545	29775880	29775880	29775880
6657	30300168	30300168	30300168
6764	30857224	30857224	30857224
6878	31348744	31348744	31348744
6997	31905800	31905800	31905800
7108	32430088	32430088	32430088
7219	32987144	32987144	32987144
7337	33511432	33511432	33511432
7450	34035720	34035720	34035720
7574	34560008	34560008	34560008
7683	35018760	35018760	35018760
7798	35674120	35674120	35674120
7907	36132872	36132872	36132872
8017	36591624	36591624	36591624
8131	37115912	37115912	37115912
8242	37705736	37705736	37705736
8361	38295560	38295560	38295560
8472	38721544	38721544	38721544
8585	39376904	39376904	39376904
8706	39901192	39901192	39901192
8827	40261640	40261640	40261640
8938	40917000	40917000	40917000
9052	41506824	41506824	41506824
9171	41998344	41998344	41998344
9281	42555400	42555400	42555400
9390	43046920	43046920	43046920
9504	43636744	43636744	43636744
9612	44062728	44062728	44062728
9720	44554248	44554248	44554248
9830	45111304	45111304	45111304
9941	45602824	45602824	45602824
10061	46290952	46290952	46290952
10169	46618632	46618632	46618632
10279	47110152	47110152	47110152
10396	47798280	47798280	47798280
10504	48158728	48158728	48158728
10615	48781320	48781320	48781320
10726	49174536	49174536	49174536
10835	49764360	49764360	49764360
10946	50386952	50386952	50386952
11056	50747400	50747400	50747400
11168	51337224	51337224	51337224
11274	51763208	51763208	51763208
11380	52123656	52123656	52123656
11489	52713480	52713480	52713480
11597	52975624	52975624	52975624
11704	53270536	53270536	53270536
11821	53368840	53368840	53368840
11929	53532680	53532680	53532680
12036	53696520	53696520	53696520
12143	53794824	53794824	53794824
12269	54482952	54482952	54482952
12373	54876168	54876168	54876168
12481	55302152	55302152	55302152
12587	55662600	55662600	55662600
12694	56023048	56023048	56023048
12802	56416264	56416264	56416264
12910	55758856	55758856	56416264
13017	56184840	56184840	56416264
13128	55265288	55265288	56416264
13351	56018952	56018952	56416264
