elapsed	disk_usage	delta	peak
5	0	0	0
115	8	8	8
223	18208	18208	18208
330	50320	50320	50320
437	78440	78440	78440
545	108440	108440	108440
652	136776	136776	136776
756	167080	167080	167080
862	195464	195464	195464
970	223720	223720	223720
1077	282656	282656	282656
1184	290848	290848	290848
1289	333856	333856	333856
1395	374816	374816	374816
1502	383008	383008	383008
1607	423968	423968	423968
1715	434208	434208	434208
1822	475168	475168	475168
1929	516128	516128	516128
2036	526368	526368	526368
2144	598048	598048	598048
2251	632864	632864	632864
2359	632864	632864	632864
2466	667680	667680	667680
2574	702496	702496	702496
2681	737312	737312	737312
2788	772128	772128	772128
2894	772128	772128	772128
2997	806944	806944	806944
3104	841760	841760	841760
3211	876576	876576	876576
3318	909344	909344	909344
3427	944160	944160	944160
3535	946208	946208	946208
3638	1013792	1013792	1013792
3741	1013792	1013792	1013792
3848	1048608	1048608	1048608
3955	1083424	1083424	1083424
4063	1085472	1085472	1085472
4170	1151008	1151008	1151008
4278	1185824	1185824	1185824
4384	1187872	1187872	1187872
4488	1222688	1222688	1222688
4595	1224736	1224736	1224736
4702	1290272	1290272	1290272
4810	1325088	1325088	1325088
4913	1327136	1327136	1327136
5020	1361952	1361952	1361952
5127	1427488	1427488	1427488
5230	1429536	1429536	1429536
5338	1464352	1464352	1464352
5445	1466400	1466400	1466400
5549	1499168	1499168	1499168
5657	1566752	1566752	1566752
5764	1568800	1568800	1568800
5871	1603616	1603616	1603616
5977	1636384	1636384	1636384
6085	1671200	1671200	1671200
6192	1706016	1706016	1706016
6300	1708064	1708064	1708064
6403	1740832	1740832	1740832
6511	1775648	1775648	1775648
6618	1810464	1810464	1810464
6725	1845280	1845280	1845280
6827	1880096	1880096	1880096
6935	1880096	1880096	1880096
7044	1947680	1947680	1947680
7147	1982496	1982496	1982496
7254	1984544	1984544	1984544
7362	2017312	2017312	2017312
7467	2019360	2019360	2019360
7569	2086944	2086944	2086944
7676	2121760	2121760	2121760
7783	2121760	2121760	2121760
7891	2156576	2156576	2156576
7998	2191392	2191392	2191392
8106	2226208	2226208	2226208
8214	2261024	2261024	2261024
8318	2261024	2261024	2261024
8425	2295840	2295840	2295840
8532	2363424	2363424	2363424
8640	2365472	2365472	2365472
8743	2398240	2398240	2398240
8850	2433056	2433056	2433056
8957	2435104	2435104	2435104
9065	2502688	2502688	2502688
9172	2502688	2502688	2502688
9279	2537504	2537504	2537504
9387	2603040	2603040	2603040
9492	2603040	2603040	2603040
9594	2668576	2668576	2668576
9702	2701344	2701344	2701344
9805	2701344	2701344	2701344
9912	2734112	2734112	2734112
10020	2766880	2766880	2766880
10127	2799648	2799648	2799648
10234	2832416	2832416	2832416
10342	2832416	2832416	2832416
10450	2865184	2865184	2865184
10557	2930720	2930720	2930720
10662	2930720	2930720	2930720
10770	2963488	2963488	2963488
10878	2996256	2996256	2996256
10985	3029024	3029024	3029024
11093	3061792	3061792	3061792
11200	3061792	3061792	3061792
11303	3094560	3094560	3094560
11411	3127328	3127328	3127328
11518	3160096	3160096	3160096
11621	3225632	3225632	3225632
11729	3258400	3258400	3258400
11836	3258400	3258400	3258400
11943	3323936	3323936	3323936
12051	3323936	3323936	3323936
12158	3356704	3356704	3356704
12266	3389472	3389472	3389472
12373	3389472	3389472	3389472
12480	3455008	3455008	3455008
12587	3487776	3487776	3487776
12694	3487776	3487776	3487776
12801	3520544	3520544	3520544
12904	3520544	3520544	3520544
13011	3586080	3586080	3586080
13113	3618848	3618848	3618848
13221	3618848	3618848	3618848
13328	3651616	3651616	3651616
13435	3717152	3717152	3717152
13543	3717152	3717152	3717152
13650	3749920	3749920	3749920
13757	3782688	3782688	3782688
13861	3815456	3815456	3815456
13969	3880992	3880992	3880992
14078	3880992	3880992	3880992
14185	3913760	3913760	3913760
14293	3946528	3946528	3946528
14400	3979296	3979296	3979296
14507	4012064	4012064	4012064
14611	4044832	4044832	4044832
14718	4044832	4044832	4044832
14825	4077600	4077600	4077600
14933	4110368	4110368	4110368
15041	4143136	4143136	4143136
15148	4175904	4175904	4175904
15255	4175904	4175904	4175904
15361	4208680	4208680	4208680
15468	4274216	4274216	4274216
15580	4274216	4274216	4274216
15688	4306984	4306984	4306984
15794	4306984	4306984	4306984
15902	4372520	4372520	4372520
16009	4405288	4405288	4405288
16113	4438056	4438056	4438056
16221	4470824	4470824	4470824
16328	4503592	4503592	4503592
16436	4536360	4536360	4536360
16543	4569128	4569128	4569128
16647	4569128	4569128	4569128
16754	4601896	4601896	4601896
16862	4667432	4667432	4667432
16969	4667432	4667432	4667432
17076	4700200	4700200	4700200
17180	4732968	4732968	4732968
17288	4732968	4732968	4732968
17396	4798504	4798504	4798504
17501	4798504	4798504	4798504
17608	4831272	4831272	4831272
17716	4864040	4864040	4864040
17820	4864040	4864040	4864040
17926	4929576	4929576	4929576
18034	4962344	4962344	4962344
18141	4962344	4962344	4962344
18249	4995112	4995112	4995112
18357	5093416	5093416	5093416
18464	5093416	5093416	5093416
18572	5126184	5126184	5126184
18679	5126184	5126184	5126184
18786	5158952	5158952	5158952
18893	5224488	5224488	5224488
19001	5224488	5224488	5224488
19108	5257256	5257256	5257256
19215	5290024	5290024	5290024
19324	5322792	5322792	5322792
19428	5355560	5355560	5355560
19535	5355560	5355560	5355560
19643	5388328	5388328	5388328
19750	5421096	5421096	5421096
19857	5453864	5453864	5453864
19964	5486632	5486632	5486632
20070	5519400	5519400	5519400
20177	5519400	5519400	5519400
20285	5552168	5552168	5552168
20395	5617704	5617704	5617704
20503	5617704	5617704	5617704
20610	5650472	5650472	5650472
20717	5683240	5683240	5683240
20824	5748776	5748776	5748776
20932	5748776	5748776	5748776
