elapsed	disk_usage	delta	peak
4	0	0	0
131	8	8	8
238	4048	4048	4048
348	54336	54336	54336
454	106768	106768	106768
566	159048	159048	159048
673	209336	209336	209336
782	261776	261776	261776
889	312160	312160	312160
999	368528	368528	368528
1111	433784	433784	433784
1217	482936	482936	482936
1326	560760	560760	560760
1434	595576	595576	595576
1543	663160	663160	663160
1646	732792	732792	732792
1754	765560	765560	765560
1865	835192	835192	835192
1973	870008	870008	870008
2082	902776	902776	902776
2193	972408	972408	972408
2300	1007224	1007224	1007224
2409	1074808	1074808	1074808
2517	1109624	1109624	1109624
2624	1177208	1177208	1177208
2732	1244792	1244792	1244792
2839	1279608	1279608	1279608
2947	1347192	1347192	1347192
3055	1382008	1382008	1382008
3164	1416824	1416824	1416824
3274	1484408	1484408	1484408
3378	1519224	1519224	1519224
3485	1586808	1586808	1586808
3592	1621624	1621624	1621624
3699	1656440	1656440	1656440
3811	1756792	1756792	1756792
3918	1791608	1791608	1791608
4029	1859192	1859192	1859192
4136	1894008	1894008	1894008
4247	1928824	1928824	1928824
4356	1996408	1996408	1996408
4464	2033272	2033272	2033272
4571	2098808	2098808	2098808
4683	2133624	2133624	2133624
4794	2233976	2233976	2233976
4903	2268792	2268792	2268792
5012	2303608	2303608	2303608
5114	2371192	2371192	2371192
5222	2406008	2406008	2406008
5329	2440824	2440824	2440824
5443	2508408	2508408	2508408
5549	2543224	2543224	2543224
5656	2610808	2610808	2610808
5763	2645624	2645624	2645624
5872	2680440	2680440	2680440
5976	2748024	2748024	2748024
6083	2782840	2782840	2782840
6193	2850424	2850424	2850424
6302	2885240	2885240	2885240
6411	2920056	2920056	2920056
6522	3020408	3020408	3020408
6630	3055224	3055224	3055224
6746	3122808	3122808	3122808
6853	3157624	3157624	3157624
6961	3192440	3192440	3192440
7068	3260024	3260024	3260024
7175	3294840	3294840	3294840
7280	3393144	3393144	3393144
7387	3458680	3458680	3458680
7496	3524216	3524216	3524216
7603	3556984	3556984	3556984
7708	3589752	3589752	3589752
7818	3655288	3655288	3655288
7928	3688056	3688056	3688056
8036	3753592	3753592	3753592
8144	3786360	3786360	3786360
8251	3819128	3819128	3819128
8360	3917432	3917432	3917432
8468	3950200	3950200	3950200
8575	4015736	4015736	4015736
8681	4048504	4048504	4048504
8785	4081272	4081272	4081272
8892	4146808	4146808	4146808
9000	4179576	4179576	4179576
9107	4277880	4277880	4277880
9214	4310648	4310648	4310648
9320	4343416	4343416	4343416
9427	4408952	4408952	4408952
9534	4441720	4441720	4441720
9642	4507256	4507256	4507256
9751	4540024	4540024	4540024
9856	4572792	4572792	4572792
9963	4638328	4638328	4638328
10074	4703864	4703864	4703864
10178	4769400	4769400	4769400
10285	4802168	4802168	4802168
10394	4834936	4834936	4834936
10503	4900472	4900472	4900472
10610	4933240	4933240	4933240
10718	4998776	4998776	4998776
10825	5064312	5064312	5064312
10934	5129848	5129848	5129848
11042	5195384	5195384	5195384
11151	5228152	5228152	5228152
11258	5293688	5293688	5293688
11365	5326456	5326456	5326456
11472	5326456	5326456	5326456
