elapsed	disk_usage	delta	peak
4	0	0	0
113	8	8	8
225	36416	36416	36416
334	123536	123536	123536
445	213216	213216	213216
558	304496	304496	304496
671	393536	393536	393536
784	482336	482336	482336
900	573776	573776	573776
1010	659296	659296	659296
1124	762032	762032	762032
1238	860336	860336	860336
1350	958640	958640	958640
1461	1024176	1024176	1024176
1572	1122480	1122480	1122480
1684	1220784	1220784	1220784
1793	1286320	1286320	1286320
1905	1384624	1384624	1384624
2019	1482928	1482928	1482928
2131	1581232	1581232	1581232
2246	1646768	1646768	1646768
2357	1745072	1745072	1745072
2469	1843376	1843376	1843376
2580	1908912	1908912	1908912
2690	2007216	2007216	2007216
2806	2105520	2105520	2105520
2917	2203824	2203824	2203824
3029	2269360	2269360	2269360
3142	2367664	2367664	2367664
3254	2465968	2465968	2465968
3366	2564272	2564272	2564272
3476	2629808	2629808	2629808
3584	2728112	2728112	2728112
3700	2826416	2826416	2826416
3813	2891952	2891952	2891952
3927	2990256	2990256	2990256
4030	3055792	3055792	3055792
4137	3055792	3055792	3055792
