elapsed	disk_usage	delta	peak
4	0	0	0
116	8	8	8
223	39816	39816	39816
331	91040	91040	91040
439	145024	145024	145024
544	196072	196072	196072
651	248336	248336	248336
759	300544	300544	300544
867	352888	352888	352888
974	406048	406048	406048
1082	489840	489840	489840
1186	522608	522608	522608
1290	588144	588144	588144
1393	620912	620912	620912
1501	686448	686448	686448
1608	719216	719216	719216
1716	784752	784752	784752
1824	850288	850288	850288
1927	883056	883056	883056
2034	948592	948592	948592
2142	981360	981360	981360
2246	1046896	1046896	1046896
2354	1079664	1079664	1079664
2462	1145200	1145200	1145200
2569	1210736	1210736	1210736
2677	1243504	1243504	1243504
2785	1309040	1309040	1309040
2890	1341808	1341808	1341808
2999	1407344	1407344	1407344
3107	1472880	1472880	1472880
3215	1505648	1505648	1505648
3318	1571184	1571184	1571184
3426	1603952	1603952	1603952
3532	1669488	1669488	1669488
3641	1702256	1702256	1702256
3748	1767792	1767792	1767792
3857	1800560	1800560	1800560
3967	1866096	1866096	1866096
4075	1931632	1931632	1931632
4183	1964400	1964400	1964400
4291	2029936	2029936	2029936
4399	2062704	2062704	2062704
4506	2128240	2128240	2128240
4612	2161008	2161008	2161008
4721	2226544	2226544	2226544
4826	2259312	2259312	2259312
4934	2324848	2324848	2324848
5041	2390384	2390384	2390384
5146	2423152	2423152	2423152
5254	2455920	2455920	2455920
5361	2521456	2521456	2521456
5467	2586992	2586992	2586992
5574	2619760	2619760	2619760
5682	2685296	2685296	2685296
5789	2718064	2718064	2718064
5897	2783600	2783600	2783600
6004	2816368	2816368	2816368
6112	2881904	2881904	2881904
6220	2914672	2914672	2914672
6328	2980208	2980208	2980208
6436	3045744	3045744	3045744
6546	3078512	3078512	3078512
6653	3144048	3144048	3144048
6761	3176816	3176816	3176816
6868	3242352	3242352	3242352
6974	3275120	3275120	3275120
7078	3340656	3340656	3340656
7185	3373424	3373424	3373424
7292	3438960	3438960	3438960
7400	3504496	3504496	3504496
7508	3537264	3537264	3537264
7615	3602800	3602800	3602800
7723	3635568	3635568	3635568
7831	3701104	3701104	3701104
7939	3733872	3733872	3733872
8043	3799408	3799408	3799408
8150	3832176	3832176	3832176
8255	3897712	3897712	3897712
8361	3930480	3930480	3930480
8468	3996016	3996016	3996016
8576	4028784	4028784	4028784
8683	4094320	4094320	4094320
8791	4159856	4159856	4159856
8899	4192624	4192624	4192624
9004	4258160	4258160	4258160
9111	4290928	4290928	4290928
9218	4323696	4323696	4323696
